date,skor,close,s_mom,s_rsi,s_vol,s_idr,s_tr
2023-09-06,47.7,6995.953125,,,,,
2023-09-07,37.3,6954.80810546875,,,,,
2023-09-08,31.8,6924.77978515625,,,,,
2023-09-11,45.4,6963.39306640625,,,,,
2023-09-12,41.4,6933.96923828125,,,,,
2023-09-13,39.1,6935.47607421875,,,,,
2023-09-14,42.5,6959.3330078125,,,,,
2023-09-15,49.6,6982.791015625,,,,,
2023-09-18,42.9,6936.0830078125,,,,,
2023-09-19,49.2,6980.32080078125,,,,,
2023-09-20,51.7,7011.68115234375,,,,,
2023-09-21,49.7,6991.4658203125,,,,,
2023-09-22,45.4,7016.84423828125,,,,,
2023-09-25,37.6,6998.380859375,,,,,
2023-09-26,27.3,6923.7998046875,,,,,
2023-09-27,30.1,6937.828125,,,,,
2023-09-29,31.4,6939.89208984375,,,,,
2023-10-02,31.6,6961.458984375,,,,,
2023-10-03,25.7,6940.88720703125,,,,,
2023-10-04,21.1,6886.576171875,,,,,
2023-10-05,18.9,6874.826171875,,,,,
2023-10-06,18.8,6888.51806640625,,,,,
2023-10-09,22.6,6891.455078125,,,,,
2023-10-10,25.4,6922.18798828125,,,,,
2023-10-11,27.6,6931.7529296875,,,,,
2023-10-12,27.2,6935.15087890625,,,,,
2023-10-13,27.3,6926.77978515625,,,,,
2023-10-16,32.2,6896.2919921875,,,,,
2023-10-17,41.8,6939.615234375,,,,,
2023-10-18,38.0,6927.90576171875,,,,,
2023-10-19,25.4,6846.4267578125,,,,,
2023-10-20,31.9,6849.16796875,,,,,
2023-10-23,23.2,6741.9638671875,,,,,
2023-10-24,31.1,6806.76220703125,,,,,
2023-10-25,36.8,6834.38818359375,,,,,
2023-10-26,25.3,6714.51904296875,,,,,
2023-10-27,31.3,6758.79296875,,,,,
2023-10-30,29.4,6735.89208984375,,,,,
2023-10-31,34.7,6752.2109375,,,,,
2023-11-01,30.2,6642.41796875,,,,,
2023-11-02,40.3,6751.38623046875,,,,,
2023-11-03,48.1,6788.85009765625,,,,,
2023-11-06,57.7,6878.8359375,,,,,
2023-11-07,53.4,6843.7900390625,,,,,
2023-11-08,46.1,6804.10595703125,,,,,
2023-11-09,48.2,6838.23291015625,,,,,
2023-11-10,38.1,6809.26318359375,,,,,
2023-11-13,34.8,6838.31201171875,,,,,
2023-11-14,36.0,6862.05517578125,,,,,
2023-11-15,46.4,6958.205078125,,,,,
2023-11-16,48.7,6958.0078125,,,,,
2023-11-17,48.3,6977.66796875,,,,,
2023-11-20,52.6,6994.88818359375,,,,,
2023-11-21,52.2,6961.7900390625,,,,,
2023-11-22,49.8,6906.953125,,,,,
2023-11-23,62.7,7004.34423828125,,,,,
2023-11-24,64.9,7009.630859375,,,,,
2023-11-27,62.4,7013.40576171875,,,,,
2023-11-28,61.5,7041.0732421875,,,,,
2023-11-29,66.2,7036.0869140625,,,,,
2023-11-30,70.5,7080.7412109375,,,,,
2023-12-01,73.7,7059.90576171875,,,,,
2023-12-04,77.9,7093.60009765625,,,,,
2023-12-05,80.5,7100.85498046875,,,,,
2023-12-06,78.8,7087.39501953125,,,,,
2023-12-07,79.8,7134.623046875,,,,,
2023-12-08,78.5,7159.59814453125,,,,,
2023-12-11,74.0,7088.78515625,,,,,
2023-12-12,79.4,7125.30712890625,,,,,
2023-12-13,65.5,7075.3408203125,,,,,
2023-12-14,75.2,7176.01611328125,,,,,
